"","Category","Response","Participant","Trial","List","RT","Inv_RT","Invk_RT","zscore_per_pt","SM_term","ProdFreq","LgSUBTLWF","Sensorimotor","Linguistic","PLD","NSyll","Category.RT","Category.RT.secs"
"1","academic subject","economics",64,28,3,3.817,0.261985853,261.9858528,0.45875,"economics",7,2.1,0.029600113,0.270800474,3.65,4,1340.09,0.596
"2","academic subject","maths",46,13,3,2.229,0.448631673,448.6316734,-0.39679,"math",12,0.9,0.086525228,0.272870123,NA,1,1340.09,0.596
"3","academic subject","sociology",80,19,3,2.444,0.409165303,409.1653028,0.00882,"sociology",13,1.36,0.026793905,0.520240714,4.15,5,1340.09,0.596
"4","academic subject","english language",25,24,3,5.623,0.17784101,177.8410101,1.79701,"english language",7,NA,NA,0.186139714,6,4,1340.09,0.596
"5","academic subject","english",37,25,3,2.611,0.382995021,382.9950211,-0.58938,"english",9,3.58,NA,0.246499358,2.9,2,1340.09,0.596
"6","academic subject","linguistics",49,21,3,3.861,0.259000259,259.000259,0.37019,"linguistics",3,1.42,0.198167351,0.610936098,4.4,3,1340.09,0.596
"7","academic subject","english",52,26,3,3.005,0.332778702,332.7787022,-0.33513,"english",9,3.58,NA,0.246499358,2.9,2,1340.09,0.596
"8","academic subject","geography",40,2,3,1.737,0.575705239,575.7052389,-0.6721,"geography",13,2.07,0.123856554,0.285390636,3.45,4,1340.09,0.596
"9","academic subject","law",67,8,3,1.866,0.535905681,535.9056806,-0.473,"law",7,3.77,0.029690331,0.224022642,1,1,1340.09,0.596
"10","academic subject","psychology",76,10,3,1.578,0.633713561,633.7135615,-0.95762,"psychology",18,2.45,0.045783366,0.320664156,3.25,4,1340.09,0.596
"11","academic subject","maths",31,27,3,2.953,0.338638673,338.6386725,-0.1231,"math",12,0.9,0.086525228,0.272870123,NA,1,1340.09,0.596
"12","academic subject","maths",28,21,3,2.124,0.470809793,470.8097928,-0.66451,"math",12,0.9,0.086525228,0.272870123,NA,1,1340.09,0.596
"13","academic subject","geography",61,2,3,3.489,0.286615076,286.615076,0.08394,"geography",13,2.07,0.123856554,0.285390636,3.45,4,1340.09,0.596
"14","academic subject","maths",22,38,3,1.63,0.613496933,613.4969325,-0.46124,"math",12,0.9,0.086525228,0.272870123,NA,1,1340.09,0.596
"15","academic subject","geography",55,27,3,2.085,0.479616307,479.616307,-0.73761,"geography",13,2.07,0.123856554,0.285390636,3.45,4,1340.09,0.596
"16","academic subject","maths",70,36,3,2.084,0.479846449,479.8464491,-0.34334,"math",12,0.9,0.086525228,0.272870123,NA,1,1340.09,0.596
"17","academic subject","maths",19,33,3,3.422,0.292226768,292.226768,-0.00396,"math",12,0.9,0.086525228,0.272870123,NA,1,1340.09,0.596
"18","academic subject","linguistics",58,23,3,2.086,0.479386385,479.3863854,-0.36974,"linguistics",3,1.42,0.198167351,0.610936098,4.4,3,1340.09,0.596
"19","academic subject","biology",79,15,3,1.907,0.524383849,524.383849,-0.733,"biology",14,2.4,0.105161108,0.34467194,2.85,4,1340.09,0.596
