Category,Response,Sensorimotor.version,Item.number,Participant,Trial.no.,Rank,Production.frequency,Mean.rank,First.rank.frequency,LgSUBTLWF,Sensorimotor.proximity,Linguistic.proximity
academic subject,accounting,accounting,14931,52,26,10,2,6.5,NA,2.36,0.9439536,0
academic subject,art,art,14506,76,10,9,9,10.66666667,NA,3.56,0.909098172,2.969121681
academic subject,biology,biology,12550,64,28,7,14,7.357142857,1,2.4,0.894838892,0
academic subject,business,business,13304,43,26,8,2,8,NA,4.21,0.956440958,0
academic subject,business studies,business,16556,46,13,14,5,12.6,NA,4.222631452,0.956440958,21.22499524
academic subject,chemistry,chemistry,11203,61,2,6,13,6.307692308,NA,2.65,0.926466012,7.900408861
academic subject,computer science,computer,17339,52,26,19,5,13,NA,3.692442603,0.815344282,12.22494811
academic subject,criminology,criminology,16355,67,8,13,3,7.666666667,NA,1.2,0.972065668,0
academic subject,drama,drama,15466,46,13,11,4,12,NA,3.01,0.96722905,2.05629837
academic subject,economics,economics,1729,64,28,1,7,8.142857143,1,2.1,0.970399887,2.057502164
academic subject,engineering,engineering,4012,67,8,2,4,10.25,NA,2.52,0.914087712,6.31766102
academic subject,english literature,literature,14575,80,19,9,10,6.5,NA,3.615475288,0.968911845,19.44481754
academic subject,geography,geography,6433,76,10,3,13,7.153846154,3,2.07,0.876143446,18.69761093
academic subject,history,history,12121,37,25,7,14,8.428571429,NA,3.63,0.963047965,4.758723371
academic subject,languages,language,14327,61,2,9,2,10,NA,2.32,0.905671798,3.073934599
academic subject,law,law,17371,80,19,19,7,9.142857143,1,3.77,0.970309669,3.822520729
academic subject,linguistics,linguistics,13972,25,24,9,3,3.666666667,2,1.42,0.801832649,0
academic subject,management,management,17126,49,21,17,2,11,NA,2.77,0.951054505,0
academic subject,mandarin,mandarin,17255,55,27,18,3,17.66666667,NA,1.83,0.904570242,0
academic subject,marketing,marketing,16197,25,24,13,3,12,NA,2.39,0.958710836,0
academic subject,mathematics,mathematics,13580,67,8,8,6,6.333333333,NA,2.2,0.932606532,9.307387526
academic subject,maths,math,1041,46,13,1,12,2.083333333,6,0.9,0.913474772,11.80495433
academic subject,media studies,media,17575,55,27,23,2,20,NA,3.211329816,0.913574101,21.22499524
academic subject,medicine,medicine,12446,58,23,7,3,10.33333333,NA,3.24,0.794252575,0
academic subject,music,music,14115,37,25,9,4,8.5,NA,3.89,0.867184078,0.540993231
academic subject,pe,physical education,17633,55,27,25,2,18.5,NA,1.75,0.783553588,0
academic subject,philosophy,philosophy,16779,43,26,15,5,12.2,NA,2.63,0.925124221,14.83482468
academic subject,physical education,physical education,11815,22,38,7,2,6.5,NA,3.376647071,0.783553588,6.113002624
academic subject,physics,physics,16141,19,33,13,12,6.25,NA,2.68,0.937286532,0
academic subject,politics,politics,15592,67,8,11,5,9,NA,2.93,0.94323477,6.76590584
academic subject,psychology,psychology,4614,19,33,3,18,7.111111111,1,2.45,0.954216634,9.922363163
academic subject,science,science,5485,46,13,3,4,3,NA,3.28,0.925170616,12.1181361
academic subject,sociology,sociology,14439,70,36,9,13,11.23076923,1,1.36,0.973206095,0
academic subject,sports science,sports,17353,67,8,19,2,22.5,NA,3.520876154,0.838889281,12.1181361
academic subject,statistics,statistics,16916,25,24,16,2,12,NA,2.23,0.931667764,0
alcoholic drink,absinthe,absinthe,15180,78,28,10,2,7,NA,1.46,0.972213493,0
alcoholic drink,beer,beer,14845,39,20,10,16,3.25,6,3.59,0.976453642,28.51280317
alcoholic drink,brandy,brandy,13427,54,18,8,3,6.666666667,NA,2.75,0.923512491,27.32563342
alcoholic drink,champagne,champagne,9027,33,35,5,6,7.666666667,NA,3.2,0.987920627,11.60096919
alcoholic drink,cider,cider,13257,39,20,8,9,5.444444444,NA,1.99,0.923905647,31.74454683
alcoholic drink,cocktail,cocktail,3689,57,2,2,5,6.2,NA,2.75,0.980084607,17.57388251
alcoholic drink,gin,gin,11511,75,34,6,13,5.615384615,1,2.76,0.97066343,29.79828843
alcoholic drink,lager,lager,15428,39,20,11,4,5.75,NA,1.42,0.944345812,33.52173059
alcoholic drink,liqueur,liqueur,14781,33,35,10,2,9,NA,1.46,0.975147499,31.29326995
alcoholic drink,mead,mead,10708,36,29,6,2,6.5,NA,1.73,0.926447619,22.46397943
alcoholic drink,port,port,12056,33,35,7,3,8.666666667,NA,2.87,0.763619537,0
alcoholic drink,red wine,wine,3171,42,25,2,7,5.142857143,1,4.028411461,0.975459439,20.85842471
alcoholic drink,rum,rum,14546,78,28,9,12,5.5,NA,2.58,0.976677381,24.98849121
alcoholic drink,schnapps,schnapps,7242,36,29,4,2,3,NA,1.58,0.959571297,0
alcoholic drink,sherry,sherry,14863,42,25,10,2,9,NA,2.85,0.944730804,0
alcoholic drink,tequila,tequila,15766,21,38,12,5,7.2,NA,2.48,0.961433789,41.34949994
alcoholic drink,vodka,vodka,54,18,15,1,20,3.75,9,2.71,0.984303157,26.29792483
alcoholic drink,whiskey,whiskey,3278,45,23,2,12,4.083333333,1,2.92,0.973746243,23.49695285
alcoholic drink,white wine,wine,2582,24,37,2,7,5.857142857,NA,4.07187948,0.975459439,21.18524903
alcoholic drink,wine,wine,7075,30,23,4,12,5,NA,3.49,0.975459439,20.85842471
animal,ant,ant,906,42,28,1,2,6,1,2.44,0.889565902,0
animal,antelope,antelope,9522,54,38,5,2,14.5,NA,1.71,0.926447583,3.879493703
animal,badger,badger,17570,39,28,23,3,11,NA,1.95,0.933037944,3.860262613
animal,bat,bat,3174,42,28,2,2,8,NA,3.02,0.932604861,2.276462709
animal,bear,bear,16360,69,4,13,2,14.5,NA,3.47,0.943950051,1.535211126
animal,bird,bird,11514,75,37,6,5,14,NA,3.37,0.939182926,2.529606445
animal,butterfly,butterfly,10953,48,12,6,2,15.5,NA,2.45,0.817916113,0.138526178
animal,camel,camel,17498,78,39,21,2,21.5,NA,2.41,0.948698056,3.384154576
animal,cat,cat,830,39,28,1,20,3.8,4,3.53,0.985687014,2.480815554
animal,cheetah,cheetah,4913,27,30,3,4,17.75,NA,2.07,0.915636563,5.330280107
animal,cheetahs,cheetah,14883,45,4,10,2,12.5,NA,0.95,0.915636563,3.641914878
animal,chicken,chicken,7995,63,3,4,4,4.25,NA,3.5,0.899085484,0
animal,cow,cow,1363,54,38,1,10,8.8,2,3.11,0.966423895,3.425458437
animal,deer,deer,17411,39,28,20,3,19.33333333,NA,2.65,0.862456746,3.085707471
animal,dog,dog,13225,36,36,8,19,5,4,3.99,0.98657013,2.45328459
animal,dolphin,dolphin,17543,72,15,22,4,13.25,NA,2.15,0.933869441,3.731194578
animal,donkey,donkey,17089,30,20,17,5,11.6,NA,2.44,0.945259722,2.609795567
animal,duck,duck,16997,63,3,16,3,14,NA,3.1,0.94908085,0.689913152
animal,ducks,duck,10446,24,38,6,2,9.5,NA,2.64,0.94908085,0.476192312
animal,eagle,eagle,17179,78,39,17,2,15.5,NA,2.77,0.930129694,2.569488776
animal,elephant,elephant,10992,51,11,6,11,11.90909091,NA,2.76,0.919072694,3.784879003
animal,elephants,elephant,17060,21,19,17,2,10.5,NA,2.35,0.919072694,2.602794862
animal,ferret,ferret,10337,21,19,6,4,16.75,NA,1.92,0.955568906,3.814202243
animal,fish,fish,16652,75,37,14,8,9.875,NA,3.63,0.86336299,0.383896999
animal,flamingo,flamingo,16542,39,28,14,2,11,NA,1.79,0.903665812,3.870615552
animal,fox,fox,15827,27,30,12,3,14.33333333,NA,3.04,0.908486669,1.471925319
animal,frog,frog,6421,75,37,3,3,10.33333333,NA,2.781,0.95140646,3.276177724
animal,gazelle,gazelle,11087,54,38,6,2,14.5,NA,1.8,0.948744269,3.121311623
animal,giraffe,giraffe,17502,18,19,22,13,11.30769231,1,1.887,0.887929725,4.671855911
animal,goose,goose,15901,39,28,12,2,10,NA,2.82,0.944253399,0
animal,gorilla,gorilla,13779,78,39,8,3,13.33333333,NA,2.45,0.926983633,4.22598902
animal,gorillas,gorilla,17384,21,19,20,2,16,NA,2.09,0.926983633,3.406478802
animal,guinea pig,guinea pig,16582,54,38,14,7,10.42857143,NA,3.347202945,0.975814535,4.904582582
animal,hamster,hamster,17652,42,28,26,7,8.714285714,1,2.04,0.938690562,2.714723314
animal,hedgehog,hedgehog,14602,18,19,10,2,10,NA,1.2,0.916165777,4.073666251
animal,horse,horse,17428,69,4,20,11,9.090909091,NA,3.68,0.970819132,1.988922911
animal,jaguar,jaguar,17608,60,7,24,2,22,NA,2.09,0.892416706,1.72749061
animal,kangaroo,kangaroo,14865,42,28,10,3,11.33333333,NA,2.08,0.898833307,2.816757948
animal,leopard,leopard,1670,63,3,1,5,13.8,1,2.44,0.89685157,3.648320396
animal,lion,lion,2689,27,30,2,13,7.846153846,NA,2.89,0.902620186,3.272755227
animal,lizard,lizard,17673,72,15,27,3,18.66666667,NA,2.39,0.893679072,3.351721753
animal,monkey,monkey,14552,78,39,9,6,14.5,NA,3.23,0.949820141,2.303763053
animal,mouse,mouse,16546,42,28,14,6,11,NA,2.99,0.931896179,1.712398626
animal,panda,panda,16041,69,4,12,2,7,NA,2.04,0.874665437,3.325873626
animal,penguin,penguin,17313,24,38,19,4,10.75,1,2.17,0.91091581,1.957248861
animal,pig,pig,16135,18,19,13,9,8.666666667,1,3.3,0.925050118,3.200150141
animal,pigeon,pigeon,15803,24,38,12,2,12,NA,2.48,0.891174318,1.989838181
animal,pigs,pig,14181,45,4,9,2,9.5,NA,2.83,0.925050118,2.84588531
animal,polar bear,polar bear,17681,24,38,28,2,28.5,NA,3.489410771,0.930081853,3.619273074
animal,rabbit,rabbit,10245,18,19,6,10,7.7,NA,3.03,0.947028483,2.614382836
animal,raccoon,raccoon,14497,75,37,9,2,15,NA,1.87,0.9455939,3.990525015
animal,rat,rat,17125,48,12,17,6,11.16666667,NA,3.22,0.94918228,2.174039082
animal,rhino,rhino,14758,30,20,10,2,12.5,NA,2.03,0.907787403,3.678361007
animal,seagull,seagull,15309,24,38,11,2,11.5,NA,1.8,0.929969797,2.582719085
animal,shark,shark,17581,72,15,23,4,17,NA,2.884,0.887529392,2.137194665
animal,sheep,sheep,15258,21,19,11,9,12.22222222,NA,2.84,0.974099452,2.391091095
animal,snake,snake,17347,60,7,19,7,16,NA,3.06,0.92577285,2.263855237
animal,squirrel,squirrel,12387,54,38,7,3,12,NA,2.45,0.923026885,2.631878698
animal,swan,swan,16812,60,7,15,2,14,NA,2.54,0.898189866,0.307951718
animal,tiger,tiger,12523,63,3,7,10,9.1,2,2.98,0.915600461,3.083207018
animal,whale,whale,17342,54,38,19,5,13.6,NA,2.76,0.926552571,3.298926119
animal,whales,whale,16977,51,11,16,2,22,NA,2.47,0.926552571,2.576289236
animal,wolf,wolf,17672,69,4,27,2,18,NA,3.01,0.945964666,3.566242732
animal,zebra,zebra,17442,18,19,21,7,15,NA,2.11,0.959451061,3.445288793
art form,dance,dance,6931,26,7,4,7,3.714285714,1,3.88,0.810287947,0.21959165
art form,dancing,dancing,13699,74,25,8,3,5.333333333,NA,3.44,0.818132199,0.048558956
art form,drawing,drawing,9040,35,16,5,9,2.555555556,1,2.91,0.952812908,0
art form,music,music,1295,53,7,1,7,4,2,3.89,0.672646457,1.547432801
art form,painting,painting,6372,74,25,3,14,1.428571429,11,3.17,0.961350221,0.803305978
art form,poetry,poetry,12519,62,35,7,2,5.5,NA,2.83,0.79933821,8.599397962
art form,pottery,pottery,7988,62,35,4,3,3.666666667,NA,1.98,0.967112968,12.77710137
art form,sculpture,sculpture,3338,47,13,2,5,2.8,NA,2.2,0.966179964,14.92201156
art form,sculptures,sculpture,7465,44,32,4,2,4.5,NA,1.53,0.966179964,14.00397398
art form,singing,singing,5147,35,16,3,3,3.333333333,1,3.36,0.595551632,0
art form,sketch,sketch,5893,59,10,3,4,4.75,NA,2.4,0.932999589,0.555353589
art form,statue,statue,9776,65,2,5,2,4,NA,2.73,0.949746259,0
art form,statues,statue,9278,44,32,5,2,6,NA,2,0.949746259,0
art form,theatre,theater,10486,26,7,6,2,6.5,NA,2.77,0.885818758,2.278125334
artistic movement,abstract,abstract,9641,60,6,5,2,4,NA,2.05,0.854829409,13.72790505
artistic movement,cubism,cubism,5171,36,3,3,4,2.5,1,0.85,0.732220368,41.38376782
artistic movement,dance,dance,1234,51,23,1,3,1,3,3.88,0.9531614,2.984143242
artistic movement,gymnastics,gymnastics,10770,39,6,6,2,4,NA,1.9,0.952222195,0
artistic movement,impressionism,impressionism,2963,36,3,2,2,2,NA,0.85,0.91360913,0
artistic movement,realism,realism,1875,69,23,1,2,5.5,1,1.57,0.909581458,0
bathroom fixture,bath,bath,4563,18,21,3,11,3.363636364,1,3.2,0.930198171,0
bathroom fixture,bath mat,bath mat,12958,21,20,8,2,14.5,NA,3.246183611,0.857213876,0
bathroom fixture,bathtub,bathtub,1455,57,15,1,5,2.6,1,2.49,0.964465968,0
bathroom fixture,blind,blind,11776,21,20,7,2,11.5,NA,3.37,0.708293854,0
bathroom fixture,cabinet,cabinet,12144,39,1,7,2,6,NA,2.63,0.929250778,0
bathroom fixture,cupboard,cupboard,11852,24,11,7,2,8.5,NA,2.11,0.916715729,0
bathroom fixture,mirror,mirror,4677,21,20,3,9,5.666666667,1,3.091,0.886052404,0
bathroom fixture,radiator,radiator,16773,42,24,15,2,9.5,NA,2.02,0.958071868,0
bathroom fixture,shower,shower,8422,78,5,4,14,4.571428571,1,3.32,0.884852971,0
bathroom fixture,shower curtain,shower curtain,6392,75,6,3,3,11,NA,3.417322794,0.91784507,0
bathroom fixture,sink,sink,4214,72,17,2,13,2.538461538,4,2.94,0.955350802,12.769605
bathroom fixture,tap,tap,1985,72,17,1,4,3.5,1,2.88,0.821550378,0
bathroom fixture,toilet,toilet,7315,39,1,4,13,2.769230769,4,3.17,0.934304556,0
bathroom fixture,towel rail,towel rail,12076,36,4,7,5,7.2,NA,2.981754677,0.905854515,0
bird,blackbird,blackbird,10735,37,28,6,8,3.625,1,1.63,0.970247827,5.478679698
bird,bluebird,bluebird,425,28,1,1,7,3.714285714,4,1.6,0.979238309,3.463988911
bird,canary,canary,15187,79,9,10,4,6.25,1,2.18,0.985689819,2.903432352
bird,chicken,chicken,8185,70,6,4,4,7.5,NA,3.5,0.822027869,1.52370275
bird,crow,crow,16793,49,28,15,6,9,NA,2.36,0.960440708,4.853834825
bird,crows,crow,15199,80,8,10,2,6,NA,2.15,0.960440708,3.928010374
bird,dove,dove,14339,61,36,9,5,6,NA,2.45,0.965956265,4.692504376
bird,duck,duck,14386,67,13,9,6,8.833333333,NA,3.1,0.950448037,2.87296178
bird,ducks,duck,4839,25,29,3,3,8.333333333,NA,2.64,0.950448037,1.369734323
bird,eagle,eagle,1053,46,25,1,7,4.857142857,3,2.77,0.968465356,5.175748835
bird,flamingo,flamingo,3962,64,34,2,5,7.4,NA,1.79,0.918334572,4.179195062
bird,goldfinch,finch,11225,61,36,6,2,6.5,NA,0.48,0.984868224,6.790957622
bird,goose,goose,16052,70,6,12,3,10.33333333,NA,2.82,0.983011381,3.910412022
bird,hawk,hawk,15523,55,16,11,5,7.4,NA,2.81,0.959189336,5.188073214
bird,hummingbird,hummingbird,1787,67,13,1,2,6,1,1.51,0.975625151,5.790957622
bird,ostrich,ostrich,10148,79,9,5,4,3,2,1.69,0.954815674,6.072870039
bird,owl,owl,2208,79,9,1,7,5.142857143,3,2.46,0.976090249,3.788296012
bird,parrot,parrot,6136,67,13,3,7,8.571428571,NA,2.23,0.9815847,4.679300276
bird,penguin,penguin,9538,55,16,5,5,6.6,NA,2.17,0.954007701,4.031363118
bird,pigeon,pigeon,754,37,28,1,13,3.846153846,2,2.48,0.964117032,4.014624726
bird,raven,raven,6243,70,6,3,6,8.333333333,NA,2.2,0.978633432,5.577311244
bird,robin,robin,13405,52,35,8,8,4.625,1,3.1,0.964863775,2.80791843
bird,seagull,seagull,12122,37,28,7,7,7.285714286,NA,1.8,0.986614701,3.476261097
bird,sparrow,sparrow,2699,28,1,2,3,5,NA,2.13,0.970479733,4.803030455
bird,swan,swan,16584,55,16,14,3,8,NA,2.54,0.946895067,4.20149373
bird,swans,swan,13632,70,6,8,2,8,NA,1.82,0.946895067,3.091905778
bird,toucan,toucan,8090,67,13,4,2,8,NA,0.7,0.979237414,6.205995122
bird,turkey,turkey,16004,61,36,12,3,10.33333333,NA,3.06,0.777534611,2.559896483
bird,vulture,vulture,15505,52,35,11,2,10,NA,1.96,0.943942777,4.541512281
bird,woodpecker,woodpecker,8978,31,31,5,3,6.333333333,NA,1.71,0.956728232,4.08083999
bird of prey,buzzard,buzzard,16,17,16,1,3,3,1,1.97,0.965530809,38.19416374
bird of prey,eagle,eagle,658,35,8,1,18,1.555555556,12,2.77,0.9629009,28.71674926
bird of prey,falcon,falcon,1844,68,31,1,9,2.444444444,1,2.23,0.946917644,35.26992613
bird of prey,hawk,hawk,4520,17,16,3,6,3.833333333,NA,2.81,0.947791209,29.72272745
bird of prey,kite,kite,5999,62,10,3,3,3.333333333,NA,2.07,0.835748394,16.7706304
bird of prey,owl,owl,8540,17,16,5,10,2.5,1,2.46,0.929382341,15.14986377
bird of prey,seagull,seagull,7464,44,30,4,2,4,NA,1.8,0.959034401,0
bird of prey,vulture,vulture,3328,47,3,2,3,5,NA,1.96,0.944605577,27.62369583
boat,canal,canal,11461,72,28,6,2,6.5,NA,2.51,0.919714303,5.198304699
boat,canoe,canoe,6047,63,22,3,7,3.142857143,1,2.26,0.956818863,4.648453418
boat,cruise,cruise,3286,45,33,2,3,3,NA,2.8,0.922823904,3.490711647
boat,cruise ship,cruise ship,9748,63,22,5,5,4.4,NA,3.751496942,0.966319405,6.455997668
boat,dinghy,dinghy,2986,36,26,2,3,2.666666667,NA,1.57,0.979469294,5.365953189
boat,ferry,ferry,10258,18,38,6,8,4,1,2.44,0.957746894,6.583687055
boat,fishing boat,fishing boat,11708,18,38,7,4,4.75,NA,3.785333582,0.971901678,12.03336479
boat,kayak,kayak,8315,75,2,4,3,5.333333333,NA,1.43,0.941170431,4.814849493
boat,lifeboat,lifeboat,10791,39,34,6,2,7,NA,1.86,0.980632869,4.9157808
boat,rowing,rowboat,2681,27,21,2,7,3,NA,1.82,0.965255791,7.039866613
boat,sailing,sailboat,1131,48,34,1,8,2.25,4,2.68,0.942917382,6.16179098
boat,ship,ship,7905,60,19,4,7,3.142857143,2,3.7,0.934507437,2.96528602
boat,speedboat,speedboat,9977,72,28,5,6,2.5,3,1.45,0.976915005,5.893637704
boat,yacht,yacht,5025,30,35,3,8,2.375,3,2.62,0.903969568,4.809226721
body of water,bath,bath,14155,42,21,9,3,5.666666667,NA,3.2,0.934182648,0.718934562
body of water,canal,canal,11181,60,10,6,4,4.75,1,2.51,0.847592261,7.295265253
body of water,lake,lake,8666,21,17,5,13,2.307692308,6,3.26,0.914531513,5.689227686
